instrument,1st harmonic,2nd harmonic,3rd harmonic,4th harmonic,5th harmonic
violin means,1.0,0.30702811211415215,0.14915559426607441,0.10340468893735168,0.1705871607794657,0.07809977584945854,0.05791985983781663,0.052670301492946825,0.06924582459502474,0.04067104975037844
violin stdevs,0.0,0.1719682451278572,0.17950814017264163,0.07933491579860118,0.10090339652171357,0.049854899439057423,0.029836212744972352,0.03145411249499136,0.03150703254358998,nan
clarinet means,1.0,0.20378146851130574,0.7866373306868698,0.19540812516748485,0.18332537369477417,0.09545223452365457,0.04982964581742165,0.05443341941381213,0.0354794717068742
clarinet stdevs,0.0,0.09315087995398375,0.2354591240760255,0.048630579924837374,0.06656541338661763,0.025056638511188545,0.013635701304816646,0.01180844436227429,0.005807430064579507
oboe means,1.0,1.3504797899573786,4.112595153671567,0.7615255300070305,0.6292547332897813,0.22093639332359563,0.174256176189295,0.14861638378554737,0.07902673649556557,0.059753586553574774
oboe stdevs,0.0,0.22653667966223115,1.880597891367784,0.4019480660892874,0.3120507970952406,0.12207204928699456,nan,nan,nan,nan
trumpet means,1.0,0.8393225857928678,0.18207968288741228,0.29432499309896615,0.249283943492564,0.1250991237485248,0.08637447606785906,0.08183183036053006,0.07730032573726653,0.049971591101999994,0.040850275415184566,0.04176424810795201,0.03531868601335838
trumpet stdevs,0.0,0.14807007200148942,0.12077347054049604,0.08860653002039927,0.04828975611009811,0.029644577302781,0.026045475560672042,0.03458670273868661,0.03488895333770546,0.009057949980790922,0.006464833972039947,nan,nan
horn means,1.0,0.1147077894174068,0.03615674839091204,0.043253133337753706,0.03340394956182122
horn stdevs,0.0,0.021965935109688518,0.005446652015739372,0.0044193021717344365,nan
flute means,1.0,0.6366385652491551,0.5413773409759625,0.15528195941786163,0.06424050395053255,0.08188282601294795
flute stdevs,0.0,0.18525515705937473,0.12632888278851234,0.0605818304173305,0.01924510850715965,0.034915735627182774
