1st harmonic,2nd harmonic,3rd harmonic,4th harmonic,5th harmonic
1.0,0.18665966030850686,0.35686176765192446,,
1.0,0.3848444075014321,0.2562904356607789,,
1.0,0.483445875477518,,,
1.0,0.17445662062227626,,,
1.0,0.5670936232165302,,,
1.0,0.3011661232479096,0.28581372029671254,,
1.0,0.2595391171542215,0.24309757834987855,,
1.0,0.4354946502036728,0.7064839124501343,0.4006864418412362,
1.0,2.280064104869269,0.25108178443987617,,
1.0,0.533994256386754,0.12288595324064619,0.16266861007324943,0.1481044960215945
1.0,,,,
1.0,0.6562741250905788,0.11580256015697515,0.236494027641598,0.2372482699373869
1.0,,,,
1.0,1.88393302470453,0.26623418993323367,,
1.0,0.38243111681434255,0.6243455725919743,,
1.0,0.1093160353595288,0.10431131149534231,,
